image_ID,Class
frame0.jpg,1
frame1.jpg,0
frame2.jpg,0
frame3.jpg,0
frame4.jpg,0
frame5.jpg,0
frame6.jpg,0
frame7.jpg,0
frame8.jpg,0
frame9.jpg,0
frame10.jpg,0
frame11.jpg,0
frame12.jpg,1
frame13.jpg,1
frame14.jpg,1
frame15.jpg,0
frame16.jpg,0
frame17.jpg,0
frame18.jpg,0
frame19.jpg,0
frame20.jpg,0
frame21.jpg,0
frame22.jpg,0
frame23.jpg,0
frame24.jpg,0
frame25.jpg,0
frame26.jpg,0
frame27.jpg,0
frame28.jpg,0
frame29.jpg,0
frame30.jpg,0
frame31.jpg,0
frame32.jpg,0
frame33.jpg,0
frame34.jpg,0
frame35.jpg,0
frame36.jpg,0
frame37.jpg,0
frame38.jpg,0
frame39.jpg,0
frame40.jpg,0
frame41.jpg,0
frame42.jpg,0
frame43.jpg,0
frame44.jpg,0
frame45.jpg,0
frame46.jpg,0
frame47.jpg,0
frame48.jpg,0
frame49.jpg,0
frame50.jpg,0
frame51.jpg,0
frame52.jpg,1
frame53.jpg,1
frame54.jpg,1
frame55.jpg,0
frame56.jpg,0
frame57.jpg,0
frame58.jpg,0
frame59.jpg,0
frame60.jpg,0
frame61.jpg,1
frame62.jpg,0
frame63.jpg,0
frame64.jpg,1
frame65.jpg,1
frame66.jpg,1
frame67.jpg,1
frame68.jpg,1
frame69.jpg,1
frame70.jpg,1
frame71.jpg,1
frame72.jpg,1
frame73.jpg,1
frame74.jpg,1
frame75.jpg,1
frame76.jpg,1
frame77.jpg,1
frame78.jpg,1
frame79.jpg,1
frame80.jpg,1
frame81.jpg,1
frame82.jpg,1
frame83.jpg,1
frame84.jpg,1
frame85.jpg,1
frame86.jpg,1
frame87.jpg,1
frame88.jpg,1
frame89.jpg,1
frame90.jpg,1
frame91.jpg,1
frame92.jpg,1
frame93.jpg,1
frame94.jpg,1
frame95.jpg,1
frame96.jpg,1
frame97.jpg,1
frame98.jpg,1
frame99.jpg,1
frame100.jpg,1
frame101.jpg,1
frame102.jpg,1
frame103.jpg,1
frame104.jpg,1
frame105.jpg,1
frame106.jpg,1
frame107.jpg,1
frame108.jpg,1
frame109.jpg,1
frame110.jpg,1
frame111.jpg,1
frame112.jpg,1
frame113.jpg,1
frame114.jpg,1
frame115.jpg,1
frame116.jpg,1
frame117.jpg,1
frame118.jpg,1
frame119.jpg,1
frame120.jpg,1
frame121.jpg,1
frame122.jpg,1
frame123.jpg,1
frame124.jpg,1
frame125.jpg,1
frame126.jpg,1
